attenuation_db_km,core_diameter_um,tensile_strength_mpa,temperature_c,draw_speed_m_min,throughput_m,defect_flag,lag1_attenuation_db_km,lag1_core_diameter_um,lag1_tensile_strength_mpa,lag1_temperature_c,lag1_draw_speed_m_min,lag1_throughput_m,roll10_mean_attenuation_db_km,roll10_std_attenuation_db_km,roll10_mean_temperature_c,roll10_std_temperature_c,roll10_mean_draw_speed_m_min,roll10_std_draw_speed_m_min,attenuation_trend_up,line_LINE-A,line_LINE-B,line_LINE-C,product_DSF-1550,product_OM3-50,product_OM4-50,product_SMF-28,shift_day,grade_A,grade_B,grade_C
0.2902,9.119,778.8,22.13,914.3,1462.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2902,0.0,22.13,0.0,914.3,0.0,0,True,False,False,False,False,False,True,True,False,False,True
0.2786,9.028,869.7,20.97,841.7,2250.0,0,0.2902,9.119,778.8,22.13,914.3,1462.0,0.2844,0.0082,21.55,0.8202,878.0,51.336,0,True,False,False,False,False,True,False,True,False,True,False
0.2948,9.119,803.2,23.44,982.0,3766.0,0,0.2786,9.028,869.7,20.97,841.7,2250.0,0.2879,0.0083,22.18,1.2358,912.6667,70.1643,0,True,False,False,True,False,False,False,True,False,False,True
0.2482,9.017,745.9,21.42,1192.8,2807.0,0,0.2948,9.119,803.2,23.44,982.0,3766.0,0.278,0.021,21.99,1.0782,982.7,151.3297,0,True,False,False,False,False,False,True,True,False,True,False
0.298,8.192,851.2,22.21,1011.5,3277.0,0,0.2482,9.017,745.9,21.42,1192.8,2807.0,0.282,0.0203,22.034,0.9389,988.46,131.6868,0,True,False,False,False,False,True,False,True,False,False,True
0.1995,0.0,701.9,20.84,930.6,3420.0,0,0.298,8.192,851.2,22.21,1011.5,3277.0,0.2682,0.0382,21.835,0.971,978.8167,120.1295,0,True,False,False,False,True,False,False,True,True,False,False
0.3355,8.119,896.2,18.35,1088.8,1722.0,0,0.1995,0.0,701.9,20.84,930.6,3420.0,0.2778,0.0432,21.3371,1.5877,994.5286,117.2772,1,True,False,False,False,True,False,False,True,False,False,True
0.2643,8.63,823.3,20.34,841.4,652.0,0,0.3355,8.119,896.2,18.35,1088.8,1722.0,0.2761,0.0403,21.2125,1.5116,975.3875,121.3266,0,True,False,False,False,False,True,False,True,False,True,False
0.2179,9.004,745.9,22.05,893.2,3900.0,0,0.2643,8.63,823.3,20.34,841.4,652.0,0.2697,0.0424,21.3056,1.4413,966.2556,116.7504,0,True,False,False,True,False,False,False,True,True,False,False
0.271,8.882,737.4,24.17,1004.3,4108.0,0,0.2179,9.004,745.9,22.05,893.2,3900.0,0.2698,0.04,21.592,1.6331,970.06,110.7289,0,True,False,False,False,False,True,False,True,False,True,False
0.2358,8.493,792.1,19.21,810.5,4044.0,0,0.271,8.882,737.4,24.17,1004.3,4108.0,0.2644,0.0406,21.3,1.7806,959.68,120.9319,1,True,False,False,False,True,False,False,True,False,True,False
0.1977,8.692,892.4,22.52,862.9,1749.0,0,0.2358,8.493,792.1,19.21,810.5,4044.0,0.2563,0.0452,21.455,1.8158,961.8,118.8009,0,True,False,False,False,False,True,False,True,True,False,False
0.3276,9.277,733.3,24.19,1007.8,974.0,0,0.1977,8.692,892.4,22.52,862.9,1749.0,0.2596,0.0493,21.53,1.9194,964.38,119.566,1,True,False,False,False,False,True,False,True,False,False,True
0.3306,8.567,748.2,19.93,961.9,3780.0,0,0.3276,9.277,733.3,24.19,1007.8,974.0,0.2678,0.0539,21.381,1.9856,941.29,88.9214,1,True,False,False,False,True,False,False,True,False,False,True
0.1816,8.191,899.7,23.54,1065.5,2264.0,0,0.3306,8.567,748.2,19.93,961.9,3780.0,0.2562,0.059,21.514,2.0891,946.69,95.0849,0,True,False,False,False,False,False,True,True,True,False,False
0.1895,9.456,814.2,21.24,1095.5,3651.0,0,0.1816,8.191,899.7,23.54,1065.5,2264.0,0.2552,0.0601,21.554,2.0786,963.18,105.6917,0,True,False,False,False,False,False,True,True,True,False,False
0.2779,8.891,739.4,24.06,1103.8,399.0,0,0.1895,9.456,814.2,21.24,1095.5,3651.0,0.2494,0.054,22.125,1.875,964.68,107.7588,1,True,False,False,False,False,False,True,True,False,True,False
0.2085,9.047,889.3,20.22,950.7,1203.0,0,0.2779,8.891,739.4,24.06,1103.8,399.0,0.2438,0.0552,22.113,1.888,975.61,99.057,0,True,False,False,False,False,False,True,True,True,False,False
0.2246,8.837,899.2,22.86,1110.3,2109.0,0,0.2085,9.047,889.3,20.22,950.7,1203.0,0.2445,0.0548,22.194,1.9023,997.32,102.7117,0,True,False,False,False,False,False,True,True,False,True,False
0.1934,8.265,754.1,18.64,813.5,2626.0,0,0.2246,8.837,899.2,22.86,1110.3,2109.0,0.2367,0.0562,21.641,2.0612,978.24,117.8737,1,True,False,False,True,False,False,False,True,True,False,False
0.2983,9.341,840.6,22.11,1146.8,1631.0,0,0.1934,8.265,754.1,18.64,813.5,2626.0,0.243,0.0594,21.931,1.8769,1011.87,112.5531,1,True,False,False,False,False,True,False,True,False,False,True
0.2169,8.176,804.4,22.19,828.6,4515.0,0,0.2983,9.341,840.6,22.11,1146.8,1631.0,0.2449,0.0581,21.898,1.8683,1008.44,117.9887,0,True,False,False,False,False,False,True,True,True,False,False
0.2746,8.071,772.2,24.73,1009.1,4471.0,0,0.2169,8.176,804.4,22.19,828.6,4515.0,0.2396,0.0518,21.952,1.948,1008.57,117.9887,1,True,False,False,True,False,False,False,True,False,True,False
0.2451,9.124,859.7,20.46,904.9,2549.0,0,0.2746,8.071,772.2,24.73,1009.1,4471.0,0.231,0.041,22.005,1.8933,1002.87,121.8088,1,True,False,False,True,False,False,False,True,False,True,False
0.2173,9.476,708.2,21.74,877.0,2430.0,0,0.2451,9.124,859.7,20.46,904.9,2549.0,0.2346,0.0377,21.825,1.8151,984.02,125.5671,1,True,False,False,False,False,False,True,True,True,False,False
0.2235,9.394,886.0,24.84,975.9,3700.0,0,0.2173,9.476,708.2,21.74,877.0,2430.0,0.238,0.0345,22.185,2.0305,972.06,119.309,0,True,False,False,False,True,False,False,True,False,True,False
