record_id,production_date,timestamp,production_line,product_code,operator_id,attenuation_db_km,core_diameter_um,tensile_strength_mpa,temperature_c,draw_speed_m_min,throughput_m,defect_flag,_injected_issue,_row_index,_issues
d7fd081a-091f-4d89-956b-15d8ff063d47,2026-06-06,2026-06-06T11:58:09,LINE-B,SMF-28,OP-103,0.262,7.151,756.7,24.89,848.2,2984.0,0,out_of_range_low,1,out_of_range_core_diameter_um; 
0c6c2067-81df-48ec-a5a7-6708b4855738,2026-06-06,2026-06-06T09:58:27,LINE-A,OM3-50,,0.2923,9.163,754.2,23.29,1085.3,1122.0,0,missing_operator,6,missing_operator_id; 
553eebef-0a06-4842-8bc5-3a0f1f22c388,2026-06-06,2026-06-06T07:06:30,LINE-A,OM3-50,OP-104,0.2235,9.394,886.0,24.84,975.9,3700.0,0,,10,duplicate_record_id; 
27d7318c-7c25-4862-9776-98c4ff7dc406,2026-06-06,2026-06-06T08:53:51,LINE-C,,OP-104,0.3059,9.027,795.2,22.21,1142.8,1207.0,0,null_product,14,missing_product_code; 
833501e9-b816-4989-8dc2-f1b5be2c4e3b,2026-06-06,2026-06-06T07:47:21,LINE-B,OM4-50,OP-103,0.2721,5.059,738.0,24.98,918.9,4266.0,0,out_of_range_low,15,out_of_range_core_diameter_um; 
f50d87d2-a5e1-4e3a-bf66-dc00479d8d47,2026-06-06,2026-06-06T11:42:00,LINE-C,DSF-1550,OP-102,0.3164,6.86,796.3,24.15,1180.3,1026.0,0,out_of_range_low,18,out_of_range_core_diameter_um; 
ecef63b5-a431-44f1-8f9f-7ca15186d2b0,2026-06-06,2026-06-06T11:50:33,LINE-A,DSF-1550,OP-101,0.3177,8.176,784.1,19.28,965.3,-268.0,0,negative_throughput,48,negative_throughput; 
5c2e8031-cc8e-4a53-bd5a-426269f2ce0c,2026-06-06,2026-06-06T06:29:27,LINE-B,OM3-50,OP-102,0.3443,5.318,770.8,18.27,1128.4,4840.0,0,out_of_range_low,54,out_of_range_core_diameter_um; 
741bfbb4-ae2f-4eb3-b571-99ddd16b9d3d,2026-06-06,2026-06-06T07:45:27,LINE-A,OM4-50,OP-103,0.1949,5.624,761.4,20.32,891.8,3939.0,0,out_of_range_low,77,out_of_range_core_diameter_um; 
0d64390f-9f2f-4242-950a-83870201c271,2026-06-06,2026-06-06T12:04:48,LINE-A,DSF-1550,,0.1953,9.437,782.1,22.91,1140.5,3579.0,0,missing_operator,79,missing_operator_id; 
85bdc9f1-222a-4c95-81d1-e1633c826201,2026-06-06,2026-06-06T13:50:15,LINE-A,,OP-104,0.281,8.368,866.0,23.18,979.6,4721.0,0,null_product,83,missing_product_code; 
af2545c6-bf67-4f83-8080-460338ec284c,2026-06-06,2026-06-06T07:55:54,LINE-B,,OP-103,0.2257,8.66,701.7,19.82,1006.7,3608.0,0,null_product,93,missing_product_code; 
