record_id,production_date,timestamp,production_line,product_code,operator_id,attenuation_db_km,core_diameter_um,tensile_strength_mpa,temperature_c,draw_speed_m_min,throughput_m,defect_flag,_injected_issue
60a3e871-fe1a-4247-82d4-386789cf38b8,2026-06-06,2026-06-06T11:08:45,LINE-A,SMF-28,OP-101,0.2458,8.223,735.7,18.59,978.8,2668.0,0,
d7fd081a-091f-4d89-956b-15d8ff063d47,2026-06-06,2026-06-06T11:58:09,LINE-B,SMF-28,OP-103,0.262,7.151,756.7,24.89,848.2,2984.0,0,out_of_range_low
6d98fe8a-7a92-4703-8b89-1d6efa6c264b,2026-06-06,2026-06-06T06:58:54,LINE-B,SMF-28,OP-103,0.2839,8.57,879.6,18.59,821.3,4343.0,0,
ab74c149-3261-46fb-b55d-57cb1c64f564,2026-06-06,2026-06-06T11:52:27,LINE-C,SMF-28,OP-101,0.3409,9.373,726.2,19.36,909.1,3953.0,0,
553eebef-0a06-4842-8bc5-3a0f1f22c388,2026-06-06,2026-06-06T07:06:30,LINE-A,OM3-50,OP-104,0.2235,9.394,886.0,24.84,975.9,3700.0,0,
2922a537-1f1f-458e-b3c2-ab2d05ba09c1,2026-06-06,2026-06-06T10:41:12,LINE-C,OM3-50,OP-102,0.2987,8.589,898.5,19.05,1009.7,1373.0,0,
0c6c2067-81df-48ec-a5a7-6708b4855738,2026-06-06,2026-06-06T09:58:27,LINE-A,OM3-50,,0.2923,9.163,754.2,23.29,1085.3,1122.0,0,missing_operator
a0eaa306-f8fa-4b0a-a022-3fdb004f7b92,2026-06-06,2026-06-06T09:43:15,LINE-C,OM4-50,OP-104,0.249,8.703,853.5,21.61,815.3,3960.0,0,
b40a451e-c00c-4e88-8e76-2a5b9a0a12d3,2026-06-06,2026-06-06T13:04:39,LINE-A,DSF-1550,OP-104,,9.326,757.0,20.07,1111.6,2767.0,0,null_sensor
d4b58e72-c746-4e36-99c5-d91ff23731b0,2026-06-06,2026-06-06T06:05:42,LINE-C,SMF-28,OP-104,0.2439,9.463,856.0,24.61,840.7,3065.0,0,
553eebef-0a06-4842-8bc5-3a0f1f22c388,2026-06-06,2026-06-06T07:06:30,LINE-A,OM3-50,OP-104,0.2235,9.394,886.0,24.84,975.9,3700.0,0,
a1fb9b21-eb78-4146-9912-ac0ec757efef,2026-06-06,2026-06-06T09:07:09,LINE-A,SMF-28,OP-103,0.1815,8.802,804.8,18.35,1024.8,3605.0,0,
ec66774e-05f9-4e6b-8e83-6b9f8144885c,2026-06-06,2026-06-06T07:17:54,LINE-B,OM3-50,OP-102,0.211,9.328,803.4,23.18,1005.2,4330.0,0,
150c3141-22cc-4f0e-93fc-5b3056e5272c,2026-06-06,2026-06-06T11:13:30,LINE-B,DSF-1550,OP-101,0.3487,8.115,800.6,20.89,1057.8,1640.0,0,
27d7318c-7c25-4862-9776-98c4ff7dc406,2026-06-06,2026-06-06T08:53:51,LINE-C,,OP-104,0.3059,9.027,795.2,22.21,1142.8,1207.0,0,null_product
833501e9-b816-4989-8dc2-f1b5be2c4e3b,2026-06-06,2026-06-06T07:47:21,LINE-B,OM4-50,OP-103,0.2721,5.059,738.0,24.98,918.9,4266.0,0,out_of_range_low
32a1ccc2-c52e-4967-8e59-6848860806d5,2026-06-06,2026-06-06T06:00:00,LINE-A,SMF-28,OP-103,0.2902,9.119,778.8,22.13,914.3,1462.0,0,
7ff103a2-c4ab-4dcc-a638-d7f79b500a77,2026-06-06,2026-06-06T08:03:30,LINE-C,SMF-28,OP-103,0.272,8.891,889.5,19.06,1056.2,3009.0,0,
f50d87d2-a5e1-4e3a-bf66-dc00479d8d47,2026-06-06,2026-06-06T11:42:00,LINE-C,DSF-1550,OP-102,0.3164,6.86,796.3,24.15,1180.3,1026.0,0,out_of_range_low
0b77cb0e-ca6b-4e6c-a745-fe2c9c2403ba,2026-06-06,2026-06-06T10:31:42,LINE-B,DSF-1550,OP-101,0.18,9.115,810.1,24.72,1138.5,4282.0,0,
5c4d72e3-40d0-4efd-8520-38f3179d8f35,2026-06-06,2026-06-06T11:01:09,LINE-B,SMF-28,OP-102,0.2594,8.017,831.4,19.7,949.4,4703.0,0,
0f07ec41-1c36-438b-ba27-c70e81a865b4,2026-06-06,2026-06-06T07:16:57,LINE-B,OM3-50,OP-104,0.2658,8.166,813.3,20.71,1103.3,2409.0,0,
d4e8261a-d9e0-46d2-a805-5e9ec676aa84,2026-06-06,2026-06-06T08:24:24,LINE-B,SMF-28,OP-104,0.2156,8.354,743.9,20.51,840.9,2613.0,0,
51f153f8-589a-4fee-8413-5f711a026312,2026-06-06,2026-06-06T08:04:27,LINE-B,SMF-28,OP-103,0.3054,8.396,718.0,22.83,1028.7,1574.0,0,
d6ec5d9e-2ae6-4155-b4b3-4b6c3ed3bc83,2026-06-06,2026-06-06T07:58:45,LINE-C,SMF-28,OP-104,0.2486,9.102,752.9,21.82,819.4,1223.0,0,
e3ab4cc6-09e0-45ea-bd3b-b5078c99e278,2026-06-06,2026-06-06T10:54:30,LINE-A,SMF-28,OP-103,0.282,9.343,758.8,20.32,1166.2,1822.0,0,
032638a2-4deb-498d-a89b-057f5f992628,2026-06-06,2026-06-06T06:26:36,LINE-B,SMF-28,OP-103,0.2511,9.208,841.2,18.71,1053.3,3268.0,0,
bd4d44c9-eda9-41c8-8544-9c99818171c7,2026-06-06,2026-06-06T09:10:00,LINE-B,OM3-50,OP-102,0.2821,9.449,857.9,21.7,1058.5,4653.0,0,
56767347-4dd6-4016-a165-3c0bd1c95a1c,2026-06-06,2026-06-06T13:02:45,LINE-C,OM3-50,OP-104,0.3304,9.371,855.6,22.66,1185.7,1374.0,0,
f71f09eb-1c87-4ad0-968b-64bd0fa9a6b3,2026-06-06,2026-06-06T10:51:39,LINE-A,OM4-50,OP-101,0.3482,9.363,788.0,22.78,1161.7,2246.0,0,
14a20e9b-bd8d-486b-93c2-c3f776b3f7d5,2026-06-06,2026-06-06T08:05:24,LINE-C,OM4-50,OP-101,0.1844,9.175,830.0,21.15,968.2,3633.0,0,
0eadce60-073e-44d4-96ed-90e8725f3809,2026-06-06,2026-06-06T07:48:18,LINE-B,DSF-1550,OP-101,0.2943,8.005,847.9,18.3,858.2,2112.0,0,
f040678e-501c-4b67-859e-75ba417ebd21,2026-06-06,2026-06-06T11:43:54,LINE-A,DSF-1550,OP-103,,9.171,737.2,22.22,1098.8,1488.0,0,null_sensor
855135ca-b682-4ea9-b0be-1ef83374f10e,2026-06-06,2026-06-06T07:23:36,LINE-C,DSF-1550,OP-103,0.1834,8.294,722.8,20.35,1195.0,1794.0,0,
5b86d5ff-690b-492a-8642-c80f8939dd70,2026-06-06,2026-06-06T09:37:33,LINE-A,DSF-1550,OP-103,0.3205,9.3,705.1,19.98,908.6,3677.0,0,
